"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","MD1","OD1","SA1","REM"
"99729699999","2020-01-01T00:00:00","4","39.27","-76.57","10.0","BALTIMORE MD, MD US","FM-13","99999","V020","320,1,N,0046,1","99999,9,9,N","999999,9,9,9","+0099,1","+9999,9","10051,1","3,1,011,1,+999,9","5,99,0077,1,999","+062,1","SYN080BLTM2 46/// /3209 10099 40051 53011 90000 222// 00062 333 91215 555 11009 22010="
"99729699999","2020-01-01T01:00:00","4","39.27","-76.57","10.0","BALTIMORE MD, MD US","FM-13","99999","V020","330,1,N,0046,1","99999,9,9,N","999999,9,9,9","+0087,1","+9999,9","10054,1","3,1,012,1,+999,9","5,99,0067,1,999","+062,1","SYN080BLTM2 46/// /3309 10087 40054 53012 90100 222// 00062 333 91213 555 11010 22011="
"99729699999","2020-01-01T02:00:00","4","39.27","-76.57","10.0","BALTIMORE MD, MD US","FM-13","99999","V020","330,1,N,0046,1","99999,9,9,N","999999,9,9,9","+0081,1","+9999,9","10062,1","3,1,018,1,+999,9","5,99,0108,1,999","+061,1","SYN080BLTM2 46/// /3309 10081 40062 53018 90200 222// 00061 333 91221 555 11009 22010="
"99729699999","2020-01-01T03:00:00","4","39.27","-76.57","10.0","BALTIMORE MD, MD US","FM-13","99999","V020","330,1,N,0051,1","99999,9,9,N","999999,9,9,9","+0078,1","+9999,9","10065,1","2,1,014,1,+999,9","5,99,0093,1,999","+063,1","SYN080BLTM2 46/// /3310 10078 40065 52014 90300 222// 00063 333 91218 555 11011 22012="
"99729699999","2020-01-01T04:00:00","4","39.27","-76.57","10.0","BALTIMORE MD, MD US","FM-13","99999","V020","310,1,N,0041,1","99999,9,9,N","999999,9,9,9","+0074,1","+9999,9","10069,1","1,1,015,1,+999,9","5,99,0088,1,999","+064,1","SYN080BLTM2 46/// /3108 10074 40069 51015 90400 222// 00064 333 91217 555 11008 22009="
"99729699999","2020-01-01T05:00:00","4","39.27","-76.57","10.0","BALTIMORE MD, MD US","FM-13","99999","V020","320,1,N,0036,1","99999,9,9,N","999999,9,9,9","+0069,1","+9999,9","10065,1","9,9,003,1,+999,9","5,99,0057,1,999","+064,1","SYN080BLTM2 46/// /3207 10069 40065 50003 90500 222// 00064 333 91211 555 11007 22008="
"99729699999","2020-01-01T06:00:00","4","39.27","-76.57","10.0","BALTIMORE MD, MD US","FM-13","99999","V020","330,1,N,0031,1","99999,9,9,N","999999,9,9,9","+9999,9","+9999,9","10068,1","1,1,003,1,+999,9","5,99,0062,1,999",,"SYN068BLTM2 46/// /3306 1//// 40068 51003 90600 333 91212 555 11006 22007="
"99729699999","2020-01-01T07:00:00","4","39.27","-76.57","10.0","BALTIMORE MD, MD US","FM-13","99999","V020","320,1,N,0031,1","99999,9,9,N","999999,9,9,9","+9999,9","+9999,9","10073,1","3,1,004,1,+999,9","5,99,0077,1,999",,"SYN068BLTM2 46/// /3206 1//// 40073 53004 90700 333 91215 555 11007 22007="
"99729699999","2020-01-01T08:00:00","4","39.27","-76.57","10.0","BALTIMORE MD, MD US","FM-13","99999","V020","330,1,N,0026,1","99999,9,9,N","999999,9,9,9","+0058,1","+9999,9","10077,1","3,1,012,1,+999,9","5,99,0041,1,999","+064,1","SYN080BLTM2 46/// /3305 10058 40077 53012 90800 222// 00064 333 91208 555 11005 22006="
"99729699999","2020-01-01T09:00:00","4","39.27","-76.57","10.0","BALTIMORE MD, MD US","FM-13","99999","V020","310,1,N,0015,1","99999,9,9,N","999999,9,9,9","+0056,1","+9999,9","10077,1","1,1,009,1,+999,9","5,99,0026,1,999","+065,1","SYN080BLTM2 46/// /3103 10056 40077 51009 90900 222// 00065 333 91205 555 11003 22003="
"99729699999","2020-01-01T10:00:00","4","39.27","-76.57","10.0","BALTIMORE MD, MD US","FM-13","99999","V020","330,1,N,0021,1","99999,9,9,N","999999,9,9,9","+0056,1","+9999,9","10080,1","1,1,007,1,+999,9","5,99,0026,1,999","+065,1","SYN080BLTM2 46/// /3304 10056 40080 51007 91000 222// 00065 333 91205 555 11004 22004="
"99729699999","2020-01-01T11:00:00","4","39.27","-76.57","10.0","BALTIMORE MD, MD US","FM-13","99999","V020","320,1,N,0021,1","99999,9,9,N","999999,9,9,9","+0056,1","+9999,9","10083,1","3,1,006,1,+999,9","5,99,0041,1,999","+067,1","SYN080BLTM2 46/// /3204 10056 40083 53006 91100 222// 00067 333 91208 555 11005 22005="
"99729699999","2020-01-01T12:00:00","4","39.27","-76.57","10.0","BALTIMORE MD, MD US","FM-13","99999","V020","330,1,N,0031,1","99999,9,9,N","999999,9,9,9","+9999,9","+9999,9","10086,1","2,1,009,1,+999,9","5,99,0051,1,999",,"SYN068BLTM2 46/// /3306 1//// 40086 52009 91200 333 91210 555 11006 22007="
"99729699999","2020-01-01T13:00:00","4","39.27","-76.57","10.0","BALTIMORE MD, MD US","FM-13","99999","V020","310,1,N,0010,1","99999,9,9,N","999999,9,9,9","+9999,9","+9999,9","10091,1","3,1,011,1,+999,9","5,99,0031,1,999","+067,1","SYN080BLTM2 46/// /3102 1//// 40091 53011 91300 222// 00067 333 91206 555 11002 22003="
