"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","MA1","OD1","REM","EQD"
"99800999999","2020-01-01T00:00:00","4","43.25","-77.5833333","83.0","ROCHESTER, NY US","FM-13","99999","V020","250,1,N,0057,1","99999,9,9,N","999999,9,9,9","+0008,1","+9999,9","99999,9",,"5,99,0103,1,999","SYN040RPRN6 46/// /2511 10008 92350 333 91220=",
"99800999999","2020-01-01T01:00:00","4","43.25","-77.5833333","83.0","ROCHESTER, NY US","FM-13","99999","V020","250,1,N,0062,1","99999,9,9,N","999999,9,9,9","+0011,1","+9999,9","99999,9",,"5,99,0088,1,999","SYN040RPRN6 46/// /2512 10011 90100 333 91217=",
"99800999999","2020-01-01T02:00:00","4","43.25","-77.5833333","83.0","ROCHESTER, NY US","FM-13","99999","V020","250,1,N,0082,1","99999,9,9,N","999999,9,9,9","+0010,1","+9999,9","99999,9",,"5,99,0108,1,999","SYN040RPRN6 46/// /2516 10010 90150 333 91221=",
"99800999999","2020-01-01T03:00:00","4","43.25","-77.5833333","83.0","ROCHESTER, NY US","FM-13","99999","V020","270,1,N,0072,1","99999,9,9,N","999999,9,9,9","+0009,1","+9999,9","99999,9",,"5,99,0108,1,999","SYN040RPRN6 46/// /2714 10009 90240 333 91221=",
"99800999999","2020-01-01T04:00:00","4","43.25","-77.5833333","83.0","ROCHESTER, NY US","FM-13","99999","V020","260,1,N,0098,1","99999,9,9,N","999999,9,9,9","+0012,1","+9999,9","99999,9",,"5,99,0124,1,999","SYN040RPRN6 46/// /2619 10012 90340 333 91224=",
"99800999999","2020-01-01T05:00:00","4","43.25","-77.5833333","83.0","ROCHESTER, NY US","FM-13","99999","V020","270,1,N,0077,1","99999,9,9,N","999999,9,9,9","+0010,1","+9999,9","99999,9",,"5,99,0093,1,999","SYN040RPRN6 46/// /2715 10010 90450 333 91218=",
"99800999999","2020-01-01T06:00:00","4","43.25","-77.5833333","83.0","ROCHESTER, NY US","FM-13","99999","V020","260,1,N,0072,1","99999,9,9,N","999999,9,9,9","+0007,1","+9999,9","99999,9",,"5,99,0113,1,999","SYN040RPRN6 46/// /2614 10007 90600 333 91222=",
"99800999999","2020-01-01T07:00:00","4","43.25","-77.5833333","83.0","ROCHESTER, NY US","FM-13","99999","V020","270,1,N,0072,1","99999,9,9,N","999999,9,9,9","+0003,1","+9999,9","99999,9",,"5,99,0124,1,999","SYN040RPRN6 46/// /2714 10003 90640 333 91224=",
"99800999999","2020-01-01T08:00:00","4","43.25","-77.5833333","83.0","ROCHESTER, NY US","FM-13","99999","V020","270,1,N,0062,1","99999,9,9,N","999999,9,9,9","+0001,1","+9999,9","99999,9",,"5,99,0082,1,999","SYN040RPRN6 46/// /2712 10001 90740 333 91216=",
"99800999999","2020-01-01T09:00:00","4","43.25","-77.5833333","83.0","ROCHESTER, NY US","FM-13","99999","V020","260,1,N,0051,1","99999,9,9,N","999999,9,9,9","+0001,1","+9999,9","99999,9",,"5,99,0077,1,999","SYN040RPRN6 46/// /2610 10001 90840 333 91215=",
