"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","AT1","AT2","AT3","AT4","AU1","AU2","AU3","AW1","AW2","AW3","GA1","GA2","GA3","GD1","GD2","GD3","GD4","GE1","GF1","MA1","MW1","MW2","MW3","OC1","REM","EQD"
"74499404741","2021-01-01T00:56:00","4","42.85","-73.95","115.2","SCHENECTADY, NY US","FM-15","99999","V020","270,1,N,0046,1","01189,1,9,N","016093,1,9,9","+0010,1","-0030,1","99999,9",,,,,,,,,,,,,,"4,99,1,+01189,1,9",,,,"9,MSL   ,+99999,+99999","99,99,9,99,9,99,9,01189,1,99,9,99,9","10271,1,99999,9",,,,,"MET052METAR KSCH 010056Z 27009KT 10SM OVC039 01/M03 A3033=",
"74499404741","2021-01-01T01:45:00","4","42.85","-73.95","115.2","SCHENECTADY, NY US","FM-15","99999","V020","290,1,N,0031,1","22000,5,9,N","016093,1,9,9","+0010,1","-0040,1","99999,9",,,,,,,,,,,,,,"2,99,1,+01250,1,9",,,,"9,AGL   ,+99999,+99999","04,99,5,99,9,99,9,01250,1,99,9,99,9","10274,1,99999,9",,,,,"MET052METAR KSCH 010145Z 29006KT 10SM SCT041 01/M04 A3034=","D01      0ADE726"
"74499404741","2021-01-01T02:58:00","4","42.85","-73.95","115.2","SCHENECTADY, NY US","FM-15","99999","V020","290,1,N,0026,1","22000,1,9,N","016093,1,9,9","+0000,1","-0040,1","99999,9",,,,,,,,,,,,,,,,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10288,1,99999,9",,,,,"MET058METAR KSCH 010258Z 29005KT 10SM CLR 00/M04 A3038 RMK LAST=",
"74499404741","2021-01-02T12:46:00","7","42.85","-73.95","115.2","SCHENECTADY, NY US","FM-15","KSCH ","V020","050,5,N,0015,5","00152,5,M,N","999999,9,N,5","+0000,C","+9999,9","99999,9",,,,,"0,0,00,0,0,1,7",,,,,,"07,5,+00152,5,99,9","07,5,+00427,5,99,9","08,5,+00762,5,99,9","3,99,1,+00152,5,9","3,99,1,+00427,5,9","4,99,1,+00762,5,9",,,,"10061,5,09924,5","71,5",,,,"MET09601/02/21 07:46:02 METAR KSCH 021246Z 05003KT 2 SM -SN BKN005 BKN014 OVC025 00/01 A2971 RMK FIRST","Q01 +00102ATOD  R01    007TMP046R02    017DPT046R032 SM -7AWW013D01      0ADE735"
"74499404741","2021-01-02T13:45:00","7","42.85","-73.95","115.2","SCHENECTADY, NY US","FM-15","KSCH ","V020","999,9,C,0000,5","00152,5,M,N","004828,5,N,5","+0010,C","+0010,C","99999,9",,,,,,,,,,,"08,5,+00152,5,99,9",,,"4,99,1,+00152,5,9",,,,"9,MSL   ,+99999,+99999","99,99,9,99,9,99,9,00152,1,99,9,99,9","10061,5,09924,5",,,,,"MET07101/02/21 08:45:02 METAR KSCH 021345Z 00000KT 3SM OVC005 01/01 A2971 RMK","R01    017TMP046R02    017DPT046"
"74499404741","2021-01-02T14:48:00","7","42.85","-73.95","115.2","SCHENECTADY, NY US","FM-15","KSCH ","V020","999,9,C,0000,5","00091,5,M,N","004023,5,N,5","+0010,C","+0010,C","99999,9",,,,,"0,0,00,1,0,1,5",,,"10,5",,,"08,5,+00091,5,99,9",,,"4,99,1,+00091,5,9",,,,"9,MSL   ,+99999,+99999","99,99,9,99,9,99,9,00091,1,99,9,99,9","10064,5,09928,5","10,1",,,,"MET07801/02/21 09:48:02 METAR KSCH 021448Z 00000KT 2 1/2SM BR OVC003 01/01 A2972 RMK","R01    017TMP046R02    017DPT046"
"74499404741","2021-01-02T15:58:00","7","42.85","-73.95","115.2","SCHENECTADY, NY US","FM-15","KSCH ","V020","280,5,N,0057,5","00335,5,M,N","016093,5,N,5","+0020,C","+0020,C","99999,9",,,,,,,,,,,"08,5,+00335,5,99,9",,,"4,99,1,+00335,5,9",,,,"9,MSL   ,+99999,+99999","99,99,9,99,9,99,9,00335,1,99,9,99,9","10078,5,09941,5",,,,"0077,5","MET07501/02/21 10:58:02 METAR KSCH 021558Z 28011G15KT 10SM OVC011 02/02 A2976 RMK","R01    027TMP046R02    027DPT046"
"74499404741","2021-01-02T16:47:00","7","42.85","-73.95","115.2","SCHENECTADY, NY US","FM-15","KSCH ","V020","280,5,N,0093,5","00457,5,M,N","024140,5,N,5","+0040,C","+0020,C","99999,9",,,,,,,,,,,"08,5,+00457,5,99,9",,,"4,99,1,+00457,5,9",,,,"9,MSL   ,+99999,+99999","99,99,9,99,9,99,9,00457,1,99,9,99,9","10078,5,09941,5",,,,"0113,5","MET07501/02/21 11:47:02 METAR KSCH 021647Z 28018G22KT 15SM OVC015 04/02 A2976 RMK","R01    047TMP046R02    027DPT046"
"74499404741","2021-01-02T17:48:00","7","42.85","-73.95","115.2","SCHENECTADY, NY US","FM-15","KSCH ","V020","280,5,N,0072,5","00518,5,M,N","016093,5,N,5","+0040,C","+0020,C","99999,9",,,,,,,,,,,"07,5,+00518,5,99,9","08,5,+01189,5,99,9",,"3,99,1,+00518,5,9","4,99,1,+01189,5,9",,,"9,MSL   ,+99999,+99999","99,99,9,99,9,99,9,00518,1,99,9,99,9","10098,5,09961,5",,,,"0108,5","MET08201/02/21 12:48:02 METAR KSCH 021748Z 28014G21KT 10SM BKN017 OVC039 04/02 A2982 RMK","R01    047TMP046R02    027DPT046"
"74499404741","2021-01-02T18:51:00","7","42.85","-73.95","115.2","SCHENECTADY, NY US","FM-15","KSCH ","V020","280,5,N,0082,5","01189,5,M,N","016093,5,N,5","+0040,C","+0010,C","99999,9",,,,,,,,,,,"04,5,+00518,5,99,9","04,5,+00792,5,99,9","07,5,+01189,5,99,9","2,99,1,+00518,5,9","2,99,1,+00792,5,9","3,99,1,+01189,5,9",,"9,MSL   ,+99999,+99999","99,99,9,99,9,99,9,00518,1,99,9,99,9","10112,5,09975,5",,,,"0118,5","MET08901/02/21 13:51:02 METAR KSCH 021851Z 28016G23KT 10SM SCT017 SCT026 BKN039 04/01 A2986 RMK","R01    047TMP046R02    017DPT046"
