"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","AT1","AT2","AT3","AT4","AT5","AU1","AU2","AW1","AW2","GA1","GA2","GA3","GD1","GD2","GD3","GD4","GE1","GF1","MA1","MW1","MW2","MW3","OC1","REM","EQD"
"74499404741","2022-01-01T00:10:00","4","42.85","-73.95","115.2","SCHENECTADY, NY US","FM-16","99999","V020","999,9,C,0000,1","00091,1,9,N","000805,1,9,9","+0040,1","+0040,1","99999,9",,,,,,,,,,,,,"4,99,1,+00091,1,9",,,,"9,AGL   ,+99999,+99999","99,99,9,99,9,99,9,00091,1,99,9,99,9","10132,1,99999,9","10,1",,,,"MET055SPECI KSCH 010010Z 00000KT 1/2SM BR OVC003 04/04 A2992=",
"74499404741","2022-01-01T00:47:00","4","42.85","-73.95","115.2","SCHENECTADY, NY US","FM-15","99999","V020","350,1,N,0015,1","00122,1,9,N","002414,1,9,9","+0040,1","+0040,1","99999,9",,,,,,,,,,,,,"4,99,1,+00122,1,9",,,,"9,AGL   ,+99999,+99999","99,99,9,99,9,99,9,00122,1,99,9,99,9","10135,1,99999,9","10,1",,,,"MET057METAR KSCH 010047Z 35003KT 1 1/2SM BR OVC004 04/04 A2993=",
"74499404741","2022-01-01T02:47:00","4","42.85","-73.95","115.2","SCHENECTADY, NY US","FM-15","99999","V020","999,9,C,0000,1","00061,1,9,N","000402,1,9,9","+0040,1","+0040,1","99999,9",,,,,,,,,,,,,"4,99,1,+00061,1,9",,,,"9,AGL   ,+99999,+99999","99,99,9,99,9,99,9,00061,1,99,9,99,9","10132,1,99999,9","44,1",,,,"MET064METAR KSCH 010247Z 00000KT 1/4SM FG OVC002 04/04 A2992 RMK LAST=",
"74499404741","2022-01-02T12:51:00","7","42.85","-73.95","115.2","SCHENECTADY, NY US","FM-15","KSCH ","V020","040,5,N,0036,5","00122,5,M,N","003219,5,N,5","+0010,C","+0010,C","99999,9",,,,,,"0,0,00,1,0,1,5",,"10,5",,"08,5,+00122,5,99,9",,,"4,99,1,+00122,5,9",,,,"9,AGL   ,+99999,+99999","99,99,9,99,9,99,9,00122,1,99,9,99,9","10034,5,09897,5","10,1",,,,"MET08001/02/22 07:51:02 METAR KSCH 021251Z 04007KT 2SM BR OVC004 01/01 A2963 RMK FIRST","R01    017TMP046R02    017DPT046"
"74499404741","2022-01-02T13:53:00","7","42.85","-73.95","115.2","SCHENECTADY, NY US","FM-15","KSCH ","V020","040,5,N,0026,5","00122,5,M,N","003219,5,N,5","+0010,C","+0010,C","99999,9",,,,,,"0,0,00,1,0,1,5",,"10,5",,"07,5,+00122,5,99,9","07,5,+00335,5,99,9","08,5,+00610,5,99,9","3,99,1,+00122,5,9","3,99,1,+00335,5,9","4,99,1,+00610,5,9",,"9,AGL   ,+99999,+99999","99,99,9,99,9,99,9,00122,1,99,9,99,9","10044,5,09908,5","10,1",,,,"MET08801/02/22 08:53:02 METAR KSCH 021353Z 04005KT 2SM BR BKN004 BKN011 OVC020 01/01 A2966 RMK","R01    017TMP046R02    017DPT046"
"74499404741","2022-01-02T16:55:00","7","42.85","-73.95","115.2","SCHENECTADY, NY US","FM-15","KSCH ","V020","050,5,N,0031,5","00122,5,M,N","004828,5,N,5","+0010,C","+0010,C","99999,9",,,,,,"0,0,00,1,0,1,5",,"10,5",,"08,5,+00122,5,99,9",,,"4,99,1,+00122,5,9",,,,"9,AGL   ,+99999,+99999","99,99,9,99,9,99,9,00122,1,99,9,99,9","10061,5,09924,5","10,1",,,,"MET07401/02/22 11:55:02 METAR KSCH 021655Z 05006KT 3SM BR OVC004 01/01 A2971 RMK","R01    017TMP046R02    017DPT046"
"74499404741","2022-01-02T18:49:00","7","42.85","-73.95","115.2","SCHENECTADY, NY US","FM-15","KSCH ","V020","050,5,N,0026,5","00152,5,M,N","004828,5,N,5","+0000,C","+0000,C","99999,9",,,,,,"1,0,03,0,0,2,5","0,0,00,1,0,3,5","10,5","71,5","07,5,+00152,5,99,9","08,5,+00396,5,99,9",,"3,99,1,+00152,5,9","4,99,1,+00396,5,9",,,,,"10058,5,09921,5","10,5","71,5",,,"MET08401/02/22 13:49:02 METAR KSCH 021849Z 05005KT 3SM -SNBR BKN005 OVC013 00/00 A2970 RMK","R01    007TMP046R02    007DPT046D01      0ADE735"
"74499404741","2022-01-02T19:48:00","7","42.85","-73.95","115.2","SCHENECTADY, NY US","FM-15","KSCH ","V020","010,5,N,0015,5","00213,5,M,N","004828,5,N,5","+0000,C","+0000,C","99999,9",,,,,,"1,0,03,0,0,1,5",,"71,5",,"08,5,+00213,5,99,9",,,"4,99,1,+00213,5,9",,,,"9,AGL   ,+99999,+99999","99,99,9,99,9,99,9,00213,1,99,9,99,9","10075,5,09938,5","71,5",,,,"MET07501/02/22 14:48:02 METAR KSCH 021948Z 01003KT 3SM -SN OVC007 00/00 A2975 RMK","R01    007TMP046R02    007DPT046"
"74499404741","2022-01-02T21:53:00","7","42.85","-73.95","115.2","SCHENECTADY, NY US","FM-15","KSCH ","V020","280,5,N,0062,5","00274,5,M,N","008047,5,N,5","-0020,C","-0020,C","99999,9",,,,,,"1,0,03,0,0,1,5",,"71,5",,"07,5,+00274,5,99,9","07,5,+00579,5,99,9","08,5,+00732,5,99,9","3,99,1,+00274,5,9","3,99,1,+00579,5,9","4,99,1,+00732,5,9",,"9,AGL   ,+99999,+99999","99,99,9,99,9,99,9,00274,1,99,9,99,9","10108,5,09971,5","71,5",,,"0088,5","MET09401/02/22 16:53:02 METAR KSCH 022153Z 28012G17KT 5SM -SN BKN009 BKN019 OVC024 M02/M02 A2985 RMK","R01   M027TMP046R02   M027DPT046"
"74499404741","2022-01-02T22:25:00","7","42.85","-73.95","115.2","SCHENECTADY, NY US","FM-15","KSCH ","V020","290,5,N,0103,5","00732,5,M,N","016093,5,N,5","-0020,5","-0020,5","99999,9",,,,,,,,,,"08,5,+00732,5,99,9",,,"4,99,1,+00732,5,9",,,,"9,AGL   ,+99999,+99999","99,99,9,99,9,99,9,00732,1,99,9,99,9","10115,5,09978,5",,,,"0139,5","MET07701/02/22 17:25:02 METAR KSCH 022225Z 29020G27KT 10SM OVC024 M02/M02 A2987 RMK",
