"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","MA1","MD1","OD1","REM"
"99800999999","2022-01-01T00:00:00","4","43.25","-77.5833333","83.0","ROCHESTER, NY US","FM-13","99999","V020","010,1,N,0010,1","99999,9,9,N","999999,9,9,9","+0052,1","+9999,9","10125,1",,"1,1,010,1,+999,9","5,99,0021,1,999","SYN052RPRN6 46/// /0102 10052 40125 51010 90000 333 91204="
"99800999999","2022-01-01T01:00:00","4","43.25","-77.5833333","83.0","ROCHESTER, NY US","FM-13","99999","V020","090,1,N,0021,1","99999,9,9,N","999999,9,9,9","+0055,1","+9999,9","10119,1",,"8,1,003,1,+999,9","5,99,0026,1,999","SYN052RPRN6 46/// /0904 10055 40119 58003 90100 333 91205="
"99800999999","2022-01-01T02:00:00","4","43.25","-77.5833333","83.0","ROCHESTER, NY US","FM-13","99999","V020","090,1,N,0036,1","99999,9,9,N","999999,9,9,9","+0051,1","+9999,9","10119,1",,,"5,99,0041,1,999","SYN046RPRN6 46/// /0907 10051 40119 90200 333 91208="
"99800999999","2022-01-01T03:00:00","4","43.25","-77.5833333","83.0","ROCHESTER, NY US","FM-13","99999","V020","110,1,N,0036,1","99999,9,9,N","999999,9,9,9","+0048,1","+9999,9","10112,1",,,"5,99,0041,1,999","SYN046RPRN6 46/// /1107 10048 40112 90250 333 91208="
"99800999999","2022-01-01T04:00:00","4","43.25","-77.5833333","83.0","ROCHESTER, NY US","FM-13","99999","V020","130,1,N,0021,1","99999,9,9,N","999999,9,9,9","+0045,1","+9999,9","10102,1",,"8,1,017,1,+999,9","5,99,0026,1,999","SYN052RPRN6 46/// /1304 10045 40102 58017 90400 333 91205="
"99800999999","2022-01-01T05:00:00","4","43.25","-77.5833333","83.0","ROCHESTER, NY US","FM-13","99999","V020","150,1,N,0015,1","99999,9,9,N","999999,9,9,9","+0043,1","+9999,9","10095,1",,,"5,99,0021,1,999","SYN046RPRN6 46/// /1503 10043 40095 90440 333 91204="
"99800999999","2022-01-01T06:00:00","4","43.25","-77.5833333","83.0","ROCHESTER, NY US","FM-13","99999","V020","140,1,N,0021,1","99999,9,9,N","999999,9,9,9","+0038,1","+9999,9","10075,1",,"7,1,033,1,+999,9","5,99,0026,1,999","SYN052RPRN6 46/// /1404 10038 40075 57033 90600 333 91205="
"99800999999","2022-01-01T07:00:00","4","43.25","-77.5833333","83.0","ROCHESTER, NY US","FM-13","99999","V020","140,1,N,0010,1","99999,9,9,N","999999,9,9,9","+0040,1","+9999,9","10081,1",,"7,1,021,1,+999,9","5,99,0015,1,999","SYN052RPRN6 46/// /1402 10040 40081 57021 90700 333 91203="
"99800999999","2022-01-01T08:00:00","4","43.25","-77.5833333","83.0","ROCHESTER, NY US","FM-13","99999","V020","150,1,N,0026,1","99999,9,9,N","999999,9,9,9","+0040,1","+9999,9","10078,1",,,"5,99,0036,1,999","SYN046RPRN6 46/// /1505 10040 40078 90740 333 91207="
"99800999999","2022-01-01T09:00:00","4","43.25","-77.5833333","83.0","ROCHESTER, NY US","FM-13","99999","V020","120,1,N,0021,1","99999,9,9,N","999999,9,9,9","+0043,1","+9999,9","10061,1",,"8,1,014,1,+999,9","5,99,0026,1,999","SYN052RPRN6 46/// /1204 10043 40061 58014 90900 333 91205="
